utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB
0 %, 0 %, 16160 MiB, 16160 MiB, 0 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
0 %, 0 %, 16160 MiB, 16135 MiB, 25 MiB
0 %, 0 %, 16160 MiB, 16149 MiB, 11 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
1 %, 0 %, 16160 MiB, 15719 MiB, 441 MiB
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
1 %, 0 %, 16160 MiB, 15689 MiB, 471 MiB
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2 %, 0 %, 16160 MiB, 15667 MiB, 493 MiB
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
3 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
1 %, 0 %, 16160 MiB, 15699 MiB, 461 MiB
0 %, 0 %, 16160 MiB, 15733 MiB, 427 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 781 MiB, 15379 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 781 MiB, 15379 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 781 MiB, 15379 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 781 MiB, 15379 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 781 MiB, 15379 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 781 MiB, 15379 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 16160 MiB, 781 MiB, 15379 MiB
0 %, 0 %, 16160 MiB, 781 MiB, 15379 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
1 %, 0 %, 16160 MiB, 747 MiB, 15413 MiB
1 %, 0 %, 16160 MiB, 747 MiB, 15413 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
1 %, 0 %, 16160 MiB, 685 MiB, 15475 MiB
2 %, 0 %, 16160 MiB, 685 MiB, 15475 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
4 %, 0 %, 16160 MiB, 629 MiB, 15531 MiB
2 %, 0 %, 16160 MiB, 625 MiB, 15535 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
1 %, 0 %, 16160 MiB, 565 MiB, 15595 MiB
1 %, 0 %, 16160 MiB, 565 MiB, 15595 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
97 %, 56 %, 16160 MiB, 551 MiB, 15609 MiB
98 %, 64 %, 16160 MiB, 551 MiB, 15609 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
59 %, 32 %, 16160 MiB, 551 MiB, 15609 MiB
58 %, 35 %, 16160 MiB, 551 MiB, 15609 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
26 %, 13 %, 16160 MiB, 551 MiB, 15609 MiB
29 %, 17 %, 16160 MiB, 551 MiB, 15609 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
6 %, 3 %, 16160 MiB, 551 MiB, 15609 MiB
25 %, 15 %, 16160 MiB, 551 MiB, 15609 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
0 %, 0 %, 16160 MiB, 15649 MiB, 511 MiB
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
15 %, 8 %, 16160 MiB, 551 MiB, 15609 MiB
0 %, 0 %, 16160 MiB, 551 MiB, 15609 MiB
